male_candidate_id,male_name,female_candidate_id,female_name,similarity,male_only_terms,female_only_terms,equipment,vendor_tags_male,vendor_tags_female,qa_result,hold_reason
gvc_b22208096dff,Cable Seated Row With V Bar,gvc_3ab62bb6aa97,Cable Low Seated Row With V Bar,0.865,,low,Cable,Back,Back,HOLD_SEMANTIC_QA,meaningful_modifier_difference
canon_gvr_f489cbb11d75,cable straight arm pulldown,gvc_fffdc22b28b6,Cable Straight Arm Pulldown Ii,0.855,,ii,Cable,Back,Back,HOLD_SEMANTIC_QA,semantic_equivalence_not_proven
gvc_67ceeec29985,Seated Elbow Chest Fly On A Chair,gvc_f1c3e1f0417e,Sitting Chest Fly On A Chair,0.836,elbow,,,Chest,Chest,HOLD_SEMANTIC_QA,semantic_equivalence_not_proven
gvc_8d618bec1a01,Standing Single Front Leg Raise Chair Supported (f,gvc_5f28cb7bebe8,Standing Single Front Leg Circle Chair Supported (,0.830,raise,circle,,,,HOLD_SEMANTIC_QA,semantic_equivalence_not_proven
gvc_1cb6763b25c0,Dumbbell One Arm Hammer Preacher Curl,gvc_fcdb868a976b,Dumbbell Single Arm Preacher Curl,0.829,hammer,,Dumbbell,Upper-Arms,Upper-Arms,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_05bf614d7ee3,Seated Overhead Triceps Extension On A Chair (,gvc_00fefc1f865a,Sitting Triceps Extension On A Chair,0.823,overhead,,,,Upper-Arms,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_4a5f72b27cde,Dumbbell Standing Prone Lateral Raise,gvc_aecf5f9cf111,Dumbbell Standing Lateral Raise,0.821,prone,,Dumbbell,Shoulders,Shoulders,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_22c423c89abf,Seated Alternate Knee Raises On A Chair,gvc_1bf4f55734ca,Sitting Alternate Knee Tuck On A Chair,0.815,raise,tuck,,Waist,Waist,HOLD_SEMANTIC_QA,semantic_equivalence_not_proven
gvc_cc101949ca87,Seated Chest Press On A Chair,gvc_4805bb7235b6,Sitting Chest Push On A Chair,0.815,press,push,,Chest,Chest,HOLD_SEMANTIC_QA,semantic_equivalence_not_proven
gvc_5eb6153dc2d9,Side Step Pick And Carry,gvc_3f09228ba55d,Side Step Squat Pick And Carry,0.815,,squat,,Plyometrics,Plyometrics,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_9975bc8c9f89,Sitting Torso Twist On A Chair,gvc_e699fc688b97,Sitting Core Twist On A Chair,0.815,torso,core,,Waist,Waist,HOLD_SEMANTIC_QA,semantic_equivalence_not_proven
gvc_39672087ab1b,Barbell Jm Bench Press,gvc_59e844d5d30e,Barbell Bench Press,0.813,jm,,Barbell,Upper-Arms,Chest,HOLD_SEMANTIC_QA,vendor_category_difference
gvc_97efd211b02d,Barbell Pause Decline Bench Press,gvc_3a11b7d13b04,Barbell Decline Bench Press,0.810,pause,,Barbell,Chest,Chest,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_a82c61e88d0e,Sitting Dynamic Side Stretch,gvc_f6af2c5b7045,Sitting Lotus Dynamic Side Stretch,0.810,,lotus,,Waist,Waist,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_69c6d0cccf29,Kneeling Back Leg Lift,gvc_b0455a85d0e7,Kneeling Back Leg Lift Curl,0.808,,curl,,Hips,Hips,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_7558e3e520e5,Lying Criss Cross Legs,gvc_4911ccb5b8ca,Lying High Criss Cross Legs,0.804,,high,,Hips,Hips,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_0fc4d50192d4,Barbell Pin Good Morning,gvc_97a4cbf1630c,Barbell Good Morning,0.796,pin,,Barbell,Thighs,Thighs,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_579a6d18cdb7,Resistance Band Standing Single Arm Lateral Raise,gvc_ff203fa6c90f,Resistance Band Single Arm Lateral Raise,0.795,standing,,Resistance Band,,,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_e4c61e6bda63,Cable Seated Leg Extension,gvc_a181e1cace6d,Cable Seated Single Leg Extension,0.793,,single,Cable,Thighs,Thighs,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_bed7bee64279,Seated Calf Raise On A Chair,gvc_3ef37bad19ea,Seated Calf Rock On A Chair,0.793,raise,rock,,Calves,Calves,HOLD_SEMANTIC_QA,semantic_equivalence_not_proven
gvc_4ac2ce463882,Barbell Pin Front Squat,gvc_6af3bc6b2a97,Barbell Front Squat,0.792,pin,,Barbell,Thighs,Thighs,HOLD_SEMANTIC_QA,meaningful_modifier_difference
gvc_fde85e8c3fbf,Seated Underhand Arm Circle On A Chair,gvc_9c9e3ccc5620,Sitting Arm Circle On A Chair,0.791,underhand,,,Shoulders,Shoulders,HOLD_SEMANTIC_QA,meaningful_modifier_difference
