merge_key,candidate_count,candidate_ids,candidate_names,male_source_count,female_source_count,total_source_count,equipment,body_parts_ko,merge_reasons,qa_result
45 side bend,2,gvc_15a79c96e3af;gvc_df184f2df237,45 Degree Side Bend | 45 Degrees Side Bend,1,1,2,,코어,normalized_exact,MERGE_IDENTITY
alternate ankle tap under sit agains wall,2,gvc_d0c600edf739;gvc_06e1aac8171c,Alternate Ankle Tap Under Sit Agains Wall | Alternate Ankle Tap Under Sit Agains Wall H,1,1,2,,,truncated_suffix,MERGE_IDENTITY
alternate knee cross over sit agains wall,2,gvc_c03c769f66de;gvc_9a3e937bdf95,Alternate Knee Cross Over Sit Agains Wall | Alternate Knee Cross Over Sit Agains Wall H,1,1,2,,,truncated_suffix,MERGE_IDENTITY
alternate obliques pulse twist side reach,2,gvc_c9058aeea7a9;gvc_8c8da535b8fb,Alternate Obliques Pulse Twist Side Reach | Alternate Obliques Pulse Twist Side Reach W,1,1,2,,,truncated_suffix,MERGE_IDENTITY
band biceps curl,2,gvc_922c1c62bfe6;gvc_47a89bc0819d,Band Biceps Curl | Resistance Band Biceps Curl,1,1,2,Resistance Band,팔,normalized_exact,MERGE_IDENTITY
band hip thrust,2,gvc_cf1adbb71650;canon_gvr_bb02a66de209,Resistance Band Hip Thrusts | resistance band hip thrust,1,2,3,Resistance Band,하체,normalized_exact,MERGE_IDENTITY
band horizontal pallof press,3,gvc_3733f2c720da;gvc_11a65c0ef1e7;gvc_7e7669b5755e,Band Horizontal Pallof Press | Resistance Band Horizontal Pallof Press | Resistance Band Horizontal Pallof Press W,2,1,3,Resistance Band,코어,truncated_suffix,MERGE_IDENTITY
band overhead shoulder press,2,gvc_7dcae6d70ccf;canon_gvr_249e80ffe80c,Resistance Band Overhead Shoulder Press S | resistance band overhead shoulder press,2,1,3,Resistance Band,어깨,truncated_suffix,MERGE_IDENTITY
band seated straight back row,3,gvc_94f8a5582233;gvc_2be93c52ba6c;gvc_5d37db45ed3a,Band Seated Straight Back Row | Band Straight Back Back Seated Row | Band Straight Back Seated Row,1,2,3,Resistance Band,등,normalized_exact;word_order_only,MERGE_IDENTITY
band standing balance hip abduction,2,gvc_450b58e55bdd;gvc_451c54e55beb,Resistance Band Standing Balance Hip Abduction (fe | Resistance Band Standing Balance Hip Abduction (ma,1,1,2,Resistance Band,,normalized_exact,MERGE_IDENTITY
barbell lying extension,2,gvc_449d7ac49f97;gvc_e8c9c1cd6c3a,Barbell Lying Extension | Barbell Lying Triceps Extension,1,1,2,Barbell,팔,redundant_target_muscle_term,MERGE_IDENTITY
barbell standing military press without rack,2,gvc_0a154ee13d0d;gvc_f42af5c011d4,Barbell Standing Military Press (without Rack) | Barbell Standing Military Press (without Rack) (fe,1,1,2,Barbell,어깨,normalized_exact,MERGE_IDENTITY
bodyweight standing alternate chest fly,2,gvc_ce7da3d4f005;gvc_6ac950fa4a5a,Bodyweight Standing Alternate Chest Fly | Bodyweight Standing Alternate Chest Fly C,1,1,2,,가슴,truncated_suffix,MERGE_IDENTITY
bodyweight standing scapular external rotation,2,gvc_e97f4aa78df4;gvc_59362db600fa,Bodyweight Standing Scapular External Rotation (fe | Bodyweight Standing Scapular External Rotation (mal,1,1,2,,,normalized_exact,MERGE_IDENTITY
bodyweight standing straight arm chest high fly,2,gvc_bf7e45b6510a;gvc_bf7e4eb6510a,Bodyweight Standing Straight Arm Chest High Fly (f | Bodyweight Standing Straight Arm Chest High Fly (m,1,1,2,,,normalized_exact,MERGE_IDENTITY
bodyweight standing straight arm chest low fly,2,gvc_7bd513b4cf52;gvc_7baf2fb4cf31,Bodyweight Standing Straight Arm Chest Low Fly (fe | Bodyweight Standing Straight Arm Chest Low Fly (ma,1,1,2,,,normalized_exact,MERGE_IDENTITY
bridge yoga pose setu bandha sarvangasana,2,gvc_c2b07e0b0091;gvc_a14f65686084,Bridge Yoga Pose Setu Bandha Sarvangasana | Bridge Yoga Pose Setu Bandha Sarvangasana S,1,2,3,,,truncated_suffix,MERGE_IDENTITY
cable concentration extension on knee,2,gvc_34b8ad74cbc0;gvc_968578e2087c,Cable Concentration Extension (on Knee) | Cable Concentration Extension (on Knee) U,1,1,2,Cable,팔,truncated_suffix,MERGE_IDENTITY
cable high pulley straight bar overhead triceps ex,2,gvc_b519b87cd9f1;gvc_a81fda4d3f5b,Cable High Pulley Straight Bar Overhead Triceps Ex | Cable High Pulley Straight Bar Overhead Triceps Extension,1,1,2,Cable,팔,truncated_final_word,MERGE_IDENTITY
cable reverse grip triceps pushdown sz bar,2,gvc_c50ab55bcda3;gvc_8acb8ca234da,Cable Reverse Grip Triceps Pushdown (sz Bar) | Cable Reverse Grip Triceps Pushdown (sz Bar) (fema,1,1,2,Cable,팔,normalized_exact,MERGE_IDENTITY
cable seated rear delt raise,2,gvc_888e309fa22c;gvc_09f69d03b5df,Cable Seated Rear Delt Raise | Cable Seated Rear Lateral Raise,1,1,2,Cable,어깨,rear_lateral_rear_delt_synonym,MERGE_IDENTITY
cable triceps pushdown v bar,2,gvc_96a3dca2c1dd;gvc_d44a12daf0a3,Cable Triceps Pushdown (v Bar Attachment) | Cable Triceps Pushdown (v Bar),1,1,2,Cable,팔,normalized_exact,MERGE_IDENTITY
calf raise from deficit with chair supported,2,gvc_c1bef62aad87;gvc_80d449e99e48,Calf Raise From Deficit With Chair Supported | Calf Raise From Deficit With Chair Supported (fema,1,1,2,,하체,normalized_exact,MERGE_IDENTITY
cat stretch,2,gvc_f80bf8cf0b1e;gvc_25201742d9e3,Cat Stretch | Cat Stretch M,1,1,2,,코어;등,normalized_exact,MERGE_IDENTITY
cossack squat,2,gvc_41710aa4579a;gvc_cd6fe040db48,Cossack Squat | Cossack Squats,1,1,2,,하체,normalized_exact,MERGE_IDENTITY
decline kneeling push up,2,gvc_1f7ccb6799ee;gvc_ec017abd4821,Decline Kneeling Push Up | Decline Push Up (kneeling),1,1,2,,가슴,word_order_only,MERGE_IDENTITY
dumbbell goblet split squat front foot elevanted,2,gvc_86661c35e74e;gvc_5e2ea75ac253,Dumbbell Goblet Split Squat Front Foot Elevanted | Dumbbell Goblet Split Squat Front Foot Elevanted T,1,2,3,Dumbbell,하체,truncated_suffix,MERGE_IDENTITY
dumbbell lying external shoulder rotation,2,gvc_414e559314f9;gvc_76d6bc1a9108,Dumbbell Lying External Shoulder Rotation | Dumbbell Lying External Shoulder Rotation B,1,1,2,Dumbbell,,truncated_suffix,MERGE_IDENTITY
dumbbell reverse grip biceps curl,2,gvc_a901b48019c9;gvc_05def1a9ec3e,Dumbbell Revers Grip Biceps Curl | Dumbbell Reverse Grip Biceps Curl,1,1,2,Dumbbell,팔,normalized_exact,MERGE_IDENTITY
dumbbell single arm reverse wrist curl,2,gvc_081d935c722c;gvc_18d5604a6f21,Dumbbell One Arm Revers Wrist Curl | Dumbbell One Arm Reverse Wrist Curl,1,1,2,Dumbbell,팔,normalized_exact,MERGE_IDENTITY
dumbbell single arm shoulder press,2,gvc_82c34a16b30a;gvc_cb8876fad337,Dumbbell One Arm Shoulder Press (version 2) | Dumbbell One Arm Shoulder Press (version 2) (femal,1,1,2,Dumbbell,어깨,normalized_exact,MERGE_IDENTITY
dumbbell standing inner biceps curl,2,gvc_682333db0c6a;canon_gvr_db35b6f930bf,Dumbbell Standing Inner Biceps Curl (version 2) (f | dumbbell standing inner biceps curl,2,1,3,Dumbbell,팔,normalized_exact,MERGE_IDENTITY
dumbbell standing single leg calf raise,2,gvc_c034550e5f8d;gvc_e3238022e856,Dumbbell Standing Single Leg Calf Raise | Dumbbell Standing Single Leg Calf Raise C,1,1,2,Dumbbell,하체,truncated_suffix,MERGE_IDENTITY
