duplicate_review_group_id,duplicate_review_key,candidate_count,source_count,candidate_ids,candidate_names,review_status,qa_result,canonical_identity_key,candidate_reduction,media_policy,qa_scope,qa_reason
gvr_378c05f18f0a,lever chest press,4,5,gvc_378c05f18f0a;gvc_8b30bf333ef0;gvc_8b30c6333ef0;gvc_8b30c5333ef0,Lever Chest Press | Lever Chest Press (version 3) | Lever Chest Press (version 4) | Lever Chest Press (version 5),manual_review_required,MERGE_IDENTITY,lever chest press,3,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_38ddbd4fc791,lever triceps extension,3,6,gvc_38ddbd4fc791;gvc_20817c2702d0;gvc_20817d2702d0,Lever Triceps Extension | Lever Triceps Extension (version 2) | Lever Triceps Extension (version 3),manual_review_required,MERGE_IDENTITY,lever triceps extension,2,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_329c4399d4b9,flutter kicks,3,5,gvc_329c4399d4b9;gvc_4932c8a47e8d;gvc_4932c9a47e8d,Flutter Kicks | Flutter Kicks (version 2) | Flutter Kicks (version 3),manual_review_required,MERGE_IDENTITY,flutter kicks,2,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_4554b77b50df,high knee squat,3,5,gvc_4554b77b50df;gvc_9fd0209ce187;gvc_9fd0219ce187,High Knee Squat | High Knee Squat (version 2) | High Knee Squat (version 3),manual_review_required,MERGE_IDENTITY,high knee squat,2,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_9d7f07982733,dead bug,3,4,gvc_9d7f07982733;gvc_61a4aa25cb66;gvc_61a4a925cb66,Dead Bug | Dead Bug (version 2) | Dead Bug (version 3),manual_review_required,MERGE_IDENTITY,dead bug,2,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_3493a68d1dcd,dumbbell v up,3,3,gvc_3493a68d1dcd;gvc_089cb4d4b60c;gvc_089cb3d4b60c,Dumbbell V Up | Dumbbell V Up (version 2) | Dumbbell V Up (version 3),manual_review_required,MERGE_IDENTITY,dumbbell v up,2,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_6f3f00e082af,lever high row plate loaded,3,3,gvc_6f3f00e082af;gvc_2e7345c68aa8;gvc_2e7346c68aa8,Lever High Row (plate Loaded) | Lever High Row (plate Loaded) (version 2) | Lever High Row (plate Loaded) (version 3),manual_review_required,MERGE_IDENTITY,lever high row plate loaded,2,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_9632e3e8347c,sitting scapular adduction,2,5,gvc_9632e3e8347c;gvc_c0e45dcb9ff6,Sitting Scapular Adduction | Sitting Scapular Adduction (version 2),manual_review_required,MERGE_IDENTITY,sitting scapular adduction,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_863be85846f3,cable kneeling crunch,2,4,gvc_863be85846f3;gvc_64c7997ea952,Cable Kneeling Crunch | Cable Kneeling Crunch (version 2),manual_review_required,MERGE_IDENTITY,cable kneeling crunch,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
gvr_522ef291fb12,cable single arm lateral raise,2,4,gvc_522ef291fb12;gvc_219ceb273fd3,Cable One Arm Lateral Raise | Cable Single Arm Lateral Raise (version 2),manual_review_required,MERGE_IDENTITY,cable single arm lateral raise,1,retain_all_source_media_for_later_default_selection,filename_semantics_identity_qa_visual_media_not_selected,All candidate names collapse to the same semantic key after VERSION normalization; no candidate-level equipment/posture modifier divergence is present.
