candidate_id,identity_key,name_en_candidate,vendor_body_tags,body_part_candidates_ko,equipment_candidates,recording_type_candidates,source_count,male_count,female_count,duplicate_review_group_id,duplicate_review_key,default_male_media_id_candidate,default_female_media_id_candidate,media_pairing_status,name_ko,primary_muscles_ko,secondary_muscles_ko,movement_pattern,posture_context,catalog_status,qa_status
gvc_7de817414cea,3 4 sit up,3 4 Sit Up,Waist,코어,,reps,2,1,1,gvr_7de817414cea,3 4 sit up,gv_m_effa41a5fc,gv_f_d449386b51,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_8a7d5ad315d4,3 leg chatarunga pose,3 Leg Chatarunga Pose,Stretching,,,,1,0,1,gvr_8a7d5ad315d4,3 leg chatarunga pose,,gv_f_a2a6c115ad,female_only,,,,,,review,auto_candidate
gvc_788be3291e46,3 leg dog pose,3 Leg Dog Pose,Stretching,,,,1,0,1,gvr_788be3291e46,3 leg dog pose,,gv_f_da9706b1bf,female_only,,,,,,review,auto_candidate
gvc_4ed56fb3d716,3 point standing hops,3 Point Standing Hops,Plyometrics,,,,1,1,0,gvr_4ed56fb3d716,3 point standing hops,gv_m_8d4b7f1abf,,male_only,,,,,,review,auto_candidate
gvc_4dde96d32f7a,3 sec sumo squat,3 Sec Sumo Squat,Hips,하체,,,1,0,1,gvr_4dde96d32f7a,3 sec sumo squat,,gv_f_f7130068a9,female_only,,,,,,review,auto_candidate
gvc_396a0ab4197c,4 cone single foot lateral hops,4 Cone Single Foot Lateral Hops,Plyometrics,,,,1,1,0,gvr_396a0ab4197c,4 cone single foot lateral hops,gv_m_4fe7cf40f4,,male_only,,,,,,review,auto_candidate
gvc_aa26bdddc8d7,4 coners side step,4 Coners Side Step,Plyometrics,,,,1,0,1,gvr_aa26bdddc8d7,4 coners side step,,gv_f_c72c9ab212,female_only,,,,,,review,auto_candidate
gvc_7944dedc5d19,4 corners curtsy,4 Corners Curtsy,Plyometrics,,,,1,1,0,gvr_7944dedc5d19,4 corners curtsy,gv_m_b25a7ccb22,,male_only,,,,,,review,auto_candidate
gvc_509a87f92407,4 punches side squat,4 Punches Side Squat,Plyometrics,,,,1,0,1,gvr_509a87f92407,4 punches side squat,,gv_f_7eeb13b1cd,female_only,,,,,,review,auto_candidate
gvc_6479df0367a3,4 reverse lunge and 4 side taps,4 Reverse Lunge And 4 Side Taps,Plyometrics,,,,1,0,1,gvr_6479df0367a3,4 reverse lunge and 4 side taps,,gv_f_1ff25cc9e4,female_only,,,,,,review,auto_candidate
gvc_87688a766ab6,4 way single leg hop,4 Way Single Leg Hop,Plyometrics,,,,1,1,0,gvr_87688a766ab6,4 way single leg hop,gv_m_d72e270d30,,male_only,,,,,,review,auto_candidate
gvc_bf46882b061f,45 degree bycicle twisting crunch,45 Degree Bycicle Twisting Crunch,Waist,코어,,reps,2,1,1,gvr_bf46882b061f,45 degree bycicle twisting crunch,gv_m_ce776cfe90,gv_f_0b290e7ff2,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_6402dfeee7c6,45 degree hip extension glute focused,45 Degree Hip Extension Glute Focused,Hips,하체,,,1,0,1,gvr_6402dfeee7c6,45 degree hip extension glute focused,,gv_f_20202783b2,female_only,,,,,,review,auto_candidate
