working_id,equipment,name_en_normalized,name_ko_candidate,naming_status,body_part_ko,recording_type,semantic_flags
gvs_14a43f2f275009c7,Machine,Back Lever,,UNRESOLVED,등,weight_reps,
gvs_64c32135ff4e46ad,Weight Plate,Balance Plate Standing Twist,,UNRESOLVED,코어,weight_reps,
gvs_e944a1eb90dd72db,Weight Plate,Balance Plate Standing Twist Waist,,UNRESOLVED,,weight_reps,
gvs_5b5605bf2832772f,Barbell,Barbell Alternate Biceps Curl,바벨 얼터네이트 바이셉 컬,EXISTING_DRAFT,팔,weight_reps,
gvs_78e40ed88a84be46,Barbell,Barbell Back Wide Shrug,,UNRESOLVED,등,weight_reps,
gvs_72f4338a765eba5c,Barbell,Barbell Banded Bench Press,바벨 밴디드 벤치프레스,NEW_HIGH_CONFIDENCE_DRAFT,가슴,weight_reps,
gvs_c80c0d20d6855716,Barbell,Barbell Banded Bench Squat,바벨 밴디드 벤치 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_4950fa2b6e3bd2bb,Barbell,Barbell Behind Back Finger Curl,바벨 비하인드 백 핑거 컬,NEW_HIGH_CONFIDENCE_DRAFT,팔,weight_reps,
gvs_37ce16f58062812d,Barbell,Barbell Behind The Back Push Press,바벨 비하인드 백 푸시 프레스,NEW_HIGH_CONFIDENCE_DRAFT,,weight_reps,
gvs_8a4a0860a7eacf9e,Barbell,Barbell Behind The Back Shrug,바벨 비하인드 백 슈러그,NEW_HIGH_CONFIDENCE_DRAFT,등,weight_reps,
gvs_ba3ae85441edd9b6,Barbell,Barbell Bench Lateral Step Up,,UNRESOLVED,하체,weight_reps,
gvs_f3a86ac0f41ea132,Barbell,Barbell Bench Press,바벨 벤치프레스,EXISTING_DRAFT,가슴,weight_reps,
gvs_e773b0f7e0930b57,Barbell,Barbell Bench Press With 1 Board,,UNRESOLVED,가슴,weight_reps,
gvs_8a66992fa8e7484f,Barbell,Barbell Bench Squat,바벨 벤치 스쿼트,NEW_HIGH_CONFIDENCE_DRAFT,하체,weight_reps,
gvs_f560305dadcbd81d,Barbell,Barbell Bent Arm Pullover,,UNRESOLVED,등,weight_reps,
gvs_c791692018822522,Barbell,Barbell Bent Over Reverse Raise (Skier),,UNRESOLVED,어깨,weight_reps,
gvs_d8ac1a465f0d7888,Barbell,Barbell Bent Over Row,바벨 벤트오버 로우,EXISTING_DRAFT,등,weight_reps,
gvs_500968ae622d338c,Barbell,Barbell Bent Over Wide Grip Row,바벨 벤트오버 와이드 그립 로우,EXISTING_DRAFT,등,weight_reps,
