working_id,equipment,name_en_normalized,name_ko_candidate,qa_status,qa_note
gvs_cca6832ba178f853,Smith Machine,Smith Bent Knee Good Morning,스미스 머신 벤트 니 굿모닝,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_385a78a6fd80b960,Smith Machine,Smith Bent Over Pronated Grip Row,스미스 머신 벤트오버 프로네이티드 그립 로우,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_3d8a8144905f4176,Smith Machine,Smith Bent Over Row,스미스 머신 벤트오버 로우,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_a5d858153add32cd,Smith Machine,Smith Bicep Curl,스미스 머신 바이셉 컬,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_4d9afa65eea8f111,Smith Machine,Smith Calf Raise,스미스 머신 카프 레이즈,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_a95ca5a4f85f0b16,Smith Machine,Smith Close Grip Bench Press,스미스 머신 클로즈 그립 벤치프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_bce32b26e7238698,Smith Machine,Smith Curtsey Lunge,스미스 머신 커시 런지,PROMOTE_HIGH_CONFIDENCE,consistent with batch02 curtsey convention
gvs_f018e6913384e649,Smith Machine,Smith Deadlift,스미스 머신 데드리프트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_517a94afc4916667,Smith Machine,Smith Decline Bench Press,스미스 머신 디클라인 벤치프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_69e6766d13a6d6b5,Smith Machine,Smith Decline Close Grip Bench Press,스미스 머신 디클라인 클로즈 그립 벤치프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_91ccafffb5cf1287,Smith Machine,Smith Donkey Kick,스미스 머신 동키 킥,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_511f991551e7d1f9,Smith Machine,Smith Elevated Split Squat,스미스 머신 엘리베이티드 스플릿 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear positional modifier
gvs_3750fd98a47fe372,Smith Machine,Smith Frog Hip Thrust,스미스 머신 프로그 힙 쓰러스트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_329b57e3be23a483,Smith Machine,Smith Front Leg Elevated Split Squat,스미스 머신 프론트 레그 엘리베이티드 스플릿 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear positional modifiers
gvs_7f198b0e174210f4,Smith Machine,Smith Front Squat,스미스 머신 프론트 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_d0d3db50eafd39da,Smith Machine,Smith Front Squat (Clean Grip),스미스 머신 클린 그립 프론트 스쿼트,PROMOTE_HIGH_CONFIDENCE,normalized Korean word order follows clean-grip convention
gvs_5fc2a2ad3f5f6301,Smith Machine,Smith Full Squat,스미스 머신 풀 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_ef329e7b177b7abb,Smith Machine,Smith Hack Squat,스미스 머신 핵 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_6001d59c06043dfe,Smith Machine,Smith Hang Clean,스미스 머신 행 클린,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_62a447b1bba68aa1,Smith Machine,Smith Hex Press,스미스 머신 헥스 프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_8ba3b164b265dc72,Smith Machine,Smith High Pull,스미스 머신 하이 풀,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_f23810d6884fd87c,Smith Machine,Smith Hip Raise,스미스 머신 힙 레이즈,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_2b98c797e2b5f4bf,Smith Machine,Smith Hip Thrust,스미스 머신 힙 쓰러스트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_e37c008448a276b2,Smith Machine,Smith Incline Bench Press,스미스 머신 인클라인 벤치프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_c45bcae24bba2dc4,Smith Machine,Smith Kneeling Hip Thrust,스미스 머신 닐링 힙 쓰러스트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_29db639693bd70b8,Smith Machine,Smith Kneeling Rear Kick,스미스 머신 닐링 리어 킥,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_08af762a3d4be84c,Smith Machine,Smith Lateral Step Up,스미스 머신 래터럴 스텝업,PROMOTE_HIGH_CONFIDENCE,consistent with batch02 lateral convention
gvs_4cff5643cf1d9003,Smith Machine,Smith Leg Press,스미스 머신 레그 프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_f3878919d658fde1,Smith Machine,Smith Low Bar Squat,스미스 머신 로우바 스쿼트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_373384e85d2c3d92,Smith Machine,Smith Narrow Row,스미스 머신 내로우 로우,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_421bc25ad7c68c4c,Smith Machine,Smith Reverse Calf Raises,스미스 머신 리버스 카프 레이즈,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_77621f8c46ff652a,Smith Machine,Smith Reverse Hyperextension,스미스 머신 리버스 하이퍼익스텐션,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_52669e59cc1003b9,Smith Machine,Smith Reverse Lunge,스미스 머신 리버스 런지,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_d90bdba31d9b60eb,Smith Machine,Smith Seated Calf Raise,스미스 머신 시티드 카프 레이즈,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_86df378c2b0a660a,Smith Machine,Smith Seated Shoulder Press,스미스 머신 시티드 숄더 프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_8c24f7be6d42d124,Smith Machine,Smith Shoulder Press,스미스 머신 숄더 프레스,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_234a93755bcac835,Smith Machine,Smith Shrug,스미스 머신 슈러그,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_056bfdc4dc01a3a2,Smith Machine,Smith Single Arm Bent Over Row,스미스 머신 원암 벤트오버 로우,PROMOTE_HIGH_CONFIDENCE,consistent with existing single-arm naming convention
gvs_331691cb213cd763,Smith Machine,Smith Single Leg Deadlift,스미스 머신 싱글 레그 데드리프트,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
gvs_2e6bef8385ce70fb,Smith Machine,Smith Single Leg Floor Calf Raise,스미스 머신 싱글 레그 플로어 카프 레이즈,PROMOTE_HIGH_CONFIDENCE,clear controlled gym terminology
