working_id,source_candidate_ids,source_name_variants,name_en_normalized,name_ko_draft,name_ko_status,vendor_body_tags,catalog_status,catalog_reason,equipment,equipment_confidence,body_part_ko,body_confidence,primary_muscles_ko,secondary_muscles_ko,muscle_confidence,recording_type,recording_confidence,source_recording_candidates,semantic_flags,source_media_count,male_source_count,female_source_count,qa_status
gvs_818638f381ea9e63,gvc_8a7d5ad315d4,3 Leg Chatarunga Pose,3 Leg Chatarunga Pose,,NOT_NEEDED,Stretching,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,하체,name,,,unsupported,,review,,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_48b1fbc222f03a5c,gvc_788be3291e46,3 Leg Dog Pose,3 Leg Dog Pose,,NOT_NEEDED,Stretching,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,하체,name,,,unsupported,,review,,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_f53f86e37982be73,gvc_4ed56fb3d716,3 Point Standing Hops,3 Point Standing Hops,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,1,1,0,SCOPE_RESOLVED_EXCLUDED
gvs_ea5fcd8eb0bcf730,gvc_396a0ab4197c,4 Cone Single Foot Lateral Hops,4 Cone Single Foot Lateral Hops,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,1,1,0,SCOPE_RESOLVED_EXCLUDED
gvs_b5cb85a49b9f56c2,gvc_aa26bdddc8d7,4 Coners Side Step,4 Coners Side Step,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_17130c9b08e15903,gvc_7944dedc5d19,4 Corners Curtsy,4 Corners Curtsy,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,1,1,0,SCOPE_RESOLVED_EXCLUDED
gvs_e0ac213a84917cbc,gvc_509a87f92407,4 Punches Side Squat,4 Punches Side Squat,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_5562a30cd91bca32,gvc_6479df0367a3,4 Reverse Lunge And 4 Side Taps,4 Reverse Lunge And 4 Side Taps,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,하체,name,대퇴사두근,둔근,name_high,,review,,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_2714257a75fa744c,gvc_87688a766ab6,4 Way Single Leg Hop,4 Way Single Leg Hop,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,하체,name,,,unsupported,,review,,,1,1,0,SCOPE_RESOLVED_EXCLUDED
gvs_4e35b5443abf9c72,gvc_32209b7c78b3,45 Degrees Step Out,45 Degree Step Out,,NOT_NEEDED,Plyometrics,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_53110247685a2e37,gvc_be8f26a6d5b4,90 To 90 Overhead Reach,90 To 90 Overhead Reach,,NOT_NEEDED,Stretching,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_41f3ad70c7bf9a32,gvc_d470526b1629,90 To 90 Stretch,90 To 90 Stretch,,NOT_NEEDED,Stretching,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,2,1,1,SCOPE_RESOLVED_EXCLUDED
gvs_7b7484c08c7e761e,gvc_cc426801ce74,90 To 90 Switch,90 To 90 Switch,,NOT_NEEDED,Stretching,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,,unknown,,unknown,,,unsupported,,review,,,2,1,1,SCOPE_RESOLVED_EXCLUDED
gvs_61e55151da8b8509,gvc_145854d3316c,Abdominal Stretch,Abdominal Stretch,,NOT_NEEDED,Waist,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,Bodyweight,inferred_bodyweight,코어,source,,,unsupported,reps,bodyweight,duration,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_5f71432f5da0b6bf,gvc_0c6ada431d0b,Abduction Of One Leg Flexion Stretch,Abduction Of Single Leg Flexion Stretch,,NOT_NEEDED,Hips,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,Bodyweight,inferred_bodyweight,하체,source,,,unsupported,reps,bodyweight,duration,,1,0,1,SCOPE_RESOLVED_EXCLUDED
gvs_e6f97a3be5a39e93,gvc_17084d7a133f,Above Head Chest Stretch,Above Head Chest Stretch,,NOT_NEEDED,Chest,EXCLUDE_NON_MVP,Outside gym-first weight-training MVP default search,Bodyweight,inferred_bodyweight,가슴,source,,,unsupported,reps,bodyweight,duration,,2,1,1,SCOPE_RESOLVED_EXCLUDED
